Date,BondCode,ShortName,Issuer,IssuingDate,MaturityDate,Tenor,CurrencyDenomination,AmountOfIssuance,Coupon,IRR,EarlyRedemption,NonCallPeriodYearxCallFrequencyYear,SecuritiesUnderwriterOrFinancialConsultingCompany,LiquidityProvider,ISIN,BondDatabase
20260905,F19002,P23CATLI2,國泰人壽保險股份有限公司,20231004,20331004,10,USD,25000000,6.100,0,Not Applicable,Not Applicable,Cathay United BankKGI SecuritiesYuanta Securities Co,KGI Securities,TW000F190020,https://mopsov.twse.com.tw/mops/web/t120sg01?encodeURIComponent=1&firstin=true&tg=&pg=&step=0&TYPEK=&monyr_reg=202608&issuer_stock_code=5846&bond_kind=4&bond_yrn=112-3&bond_subn=%24M00000001&bond_id=F19002&come=2
20260905,F05450,P23NATIX6,Natixis,20231019,20331019,10,USD,50000000,6.250,0,Applicable,4.000 x 1.000,Yuanta Securities Co,Yuanta Securities Co,XS2568869361,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0037&MONYR_REG=202310&BOND_ID=F05450&KIND=A
20260905,F05451,P23NATIX7,Natixis,20231025,20331025,10,USD,50000000,6.350,0,Applicable,4.000 x 1.000,E.SUN Bank,E.SUN Bank,XS2568870880,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0037&MONYR_REG=202310&BOND_ID=F05451&KIND=A
20260905,F18912,P23MLBV12,Merrill Lynch B.V.,20231115,20331115,10,USD,20000000,0,0,Applicable,4.000 x 1.000,E.SUN BankFirst Bank,E.SUN Bank,XS2664322752,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202311&BOND_ID=F18912&KIND=A
20260905,F02282,P23SG5,Societe Generale,20231128,20331128,10,USD,80000000,6.350,0,Applicable,4.000 x 1.000,E.SUN BankSG Securities Taipei,E.SUN Bank,XS2699597543,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0010&MONYR_REG=202311&BOND_ID=F02282&KIND=A
20260905,F02657,P24CACIB1,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,20240124,20340124,10,USD,140000000,5.400,0,Applicable,3.000 x 1.000,CACIB TaipeiE.SUN BankSinoPac Securities,SinoPac Securities,XS2559702753,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0014&MONYR_REG=202401&BOND_ID=F02657&KIND=A
20260905,F18913,P24MLBV1,Merrill Lynch B.V.,20240130,20340130,10,USD,125000000,5.300,0,Applicable,4.000 x 1.000,Bank of TaiwanE.SUN BankFirst BankKGI SecuritiesYuanta Securities Co,E.SUN Bank,XS2711528682,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202401&BOND_ID=F18913&KIND=A
20260905,F18914,P24MLBV2,Merrill Lynch B.V.,20240131,20340131,10,USD,25000000,0,0,Applicable,4.000 x 1.000,E.SUN BankFirst Bank,E.SUN Bank,XS2711527957,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202401&BOND_ID=F18914&KIND=A
20260905,F19201,P24WFF1,Wells Fargo Finance LLC,20240131,20340131,10,USD,138000000,5.470,0,Applicable,4.000 x 1.000,E.SUN BankKGI SecuritiesYuanta Securities Co,Yuanta Securities Co,XS2754070469,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0158&MONYR_REG=202401&BOND_ID=F19201&KIND=A
20260905,F07112,P24SCB1,Standard Chartered Bank,20240205,20340205,10,USD,20000000,5.800,0,Applicable,2.000 x 1.000,E.SUN BankStandard Chartered,E.SUN Bank,XS2758889666,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0051&MONYR_REG=202402&BOND_ID=F07112&KIND=A
20260905,F05454,P24NATIX1,Natixis,20240205,20340205,10,USD,105000000,5.550,0,Applicable,4.000 x 1.000,E.SUN BankKGI SecuritiesYuanta Securities Co,KGI Securities,XS2662255558,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0037&MONYR_REG=202402&BOND_ID=F05454&KIND=A
20260905,F05455,P24NATIX2,Natixis,20240223,20340223,10,USD,36000000,5.250,0,Applicable,4.000 x 1.000,E.SUN BankShanghai Bank,E.SUN Bank,XS2697326010,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0037&MONYR_REG=202402&BOND_ID=F05455&KIND=A
20260905,F19202,P24WFF2,Wells Fargo Finance LLC,20240306,20340306,10,USD,100000000,5.540,0,Applicable,4.000 x 1.000,E.SUN BankYuanta Securities Co,E.SUN Bank,XS2774936244,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0158&MONYR_REG=202403&BOND_ID=F19202&KIND=A
20260905,F18916,P24MLBV4,Merrill Lynch B.V.,20240307,20340307,10,USD,85000000,5.600,0,Applicable,3.000 x 1.000,First BankKGI SecuritiesYuanta Securities Co,KGI Securities,XS2711518022,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202403&BOND_ID=F18916&KIND=A
20260905,F02284,P24SG2,Societe Generale,20240308,20340308,10,USD,50000000,5.780,0,Applicable,3.000 x 1.000,SG Securities TaipeiSinoPac Securities,SinoPac Securities,XS2746344998,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0010&MONYR_REG=202403&BOND_ID=F02284&KIND=A
20260905,F10721,P24BMO1,Bank of Montreal,20240314,20340314,10,USD,80000000,5.440,0,Applicable,5.000 x 1.000,E.SUN BankKGI Securities,KGI Securities,XS2774435973,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0084&MONYR_REG=202403&BOND_ID=F10721&KIND=A
20260905,F07113,P24SCB2,Standard Chartered Bank,20240315,20340315,10,USD,40000000,5.750,0,Applicable,3.000 x 1.000,E.SUN BankStandard Chartered,E.SUN Bank,XS2780493701,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0051&MONYR_REG=202403&BOND_ID=F07113&KIND=A
20260905,F14621,P24JPMCB2,JPMorgan Chase Bank N.A.,20240321,20340321,10,USD,30000000,5.500,0,Applicable,3.000 x 1.000,E.SUN BankJPM Securities TWKGI Securities,E.SUN Bank,XS1449676151,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0118&MONYR_REG=202403&BOND_ID=F14621&KIND=A
20260905,F05830,P24RBCLB1,Royal Bank of Canada London Branch,20240328,20340328,10,USD,40000000,5.310,0,Applicable,8.000 x 1.000,E.SUN BankKGI Securities,KGI Securities,XS2729277157,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0040&MONYR_REG=202403&BOND_ID=F05830&KIND=A
20260905,F02658,P24CACIB2,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,20240402,20340402,10,USD,70000000,5.630,0,Applicable,3.000 x 1.000,CACIB TaipeiE.SUN Bank,E.SUN Bank,XS2559714170,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0014&MONYR_REG=202404&BOND_ID=F02658&KIND=A
20260905,F06607,P24MBL1,Macquarie Bank Limited,20240411,20340411,10,USD,40000000,5.720,0,Applicable,3.000 x 1.000,SinoPac Securities,SinoPac Securities,XS2794488556,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0047&MONYR_REG=202404&BOND_ID=F06607&KIND=A
20260905,F03521,P24UBSLN1,UBS AG London Branch,20240415,20340415,10,USD,30000000,5.600,0,Applicable,1.000 x 1.000,E.SUN Bank,E.SUN Bank,XS2522427595,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0022&MONYR_REG=202404&BOND_ID=F03521&KIND=A
20260905,F00819,P24DB1,Deutsche Bank Aktiengesellschaft,20240424,20340424,10,USD,40000000,5.800,0,Applicable,4.000 x 1.000,DeutscheBankAGTPEFirst Bank,DeutscheBankAGTPE,XS0461615212,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0001&MONYR_REG=202404&BOND_ID=F00819&KIND=A
20260905,F13770,P24MSF1,Morgan Stanley Finance LLC,20240425,20340425,10,USD,95000000,5.930,0,Applicable,3.000 x 1.000,KGI SecuritiesYuanta Securities Co,Yuanta Securities Co,XS2641753723,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0111&MONYR_REG=202404&BOND_ID=F13770&KIND=A
20260905,F06108,P24HBEU2,HSBC Bank plc,20240430,20340430,10,USD,130000000,5.730,0,Applicable,3.000 x 1.000,E.SUN BankHSBC Bank(Taiwan)LtdKGI Securities,E.SUN Bank,XS2793223558,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0043&MONYR_REG=202404&BOND_ID=F06108&KIND=A
20260905,F14250,P24CGMHI3,Citigroup Global Markets Holdings Inc.,20240507,20340507,10,USD,50000000,6.000,0,Applicable,3.000 x 1.000,Sunny Bank Ltd.Yuanta Securities Co,Yuanta Securities Co,XS2782864446,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0115&MONYR_REG=202404&BOND_ID=F14250&KIND=A
20260905,F18918,P24MLBV6,Merrill Lynch B.V.,20240507,20340507,10,USD,25000000,0,0,Not Applicable,Not Applicable,E.SUN BankKGI Securities,E.SUN Bank,XS2769681656,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202405&BOND_ID=F18918&KIND=A
20260905,F19003,P24CATLI1,國泰人壽保險股份有限公司,20240509,20340509,10,USD,187000000,5.800,0,Not Applicable,Not Applicable,Cathay United BankChinatrust BankKGI Securities,KGI Securities,TW000F190038,https://mopsov.twse.com.tw/mops/web/t120sg01?encodeURIComponent=1&firstin=true&tg=&pg=&step=0&TYPEK=&monyr_reg=202608&issuer_stock_code=5846&bond_kind=4&bond_yrn=113-2&bond_subn=%24M00000001&bond_id=F19003&come=2
20260905,F18919,P24MLBV7,Merrill Lynch B.V.,20240528,20340528,10,USD,20000000,0,0,Applicable,4.000 x 1.000,E.SUN BankFirst Bank,E.SUN Bank,XS2769677035,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202405&BOND_ID=F18919&KIND=A
20260905,F17504,P24MDGHA1,MDGH GMTN (RSC) Ltd,20240604,20340604,10,USD,750000000,5.294,0,Applicable,Not a complete month or multiples.Please refer to the prospectus.,BNP PARIBAS TAIWANHSBC Bank(Taiwan)LtdMorgan StanleySG Securities Taipei,BNP PARIBAS TAIWAN,XS2830445727,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0143&MONYR_REG=202406&BOND_ID=F17504&KIND=A
20260905,F03522,P24UBSLN2,UBS AG London Branch,20240620,20340620,10,USD,30000000,5.750,0,Applicable,2.000 x 1.000,E.SUN Bank,E.SUN Bank,XS2522375349,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0022&MONYR_REG=202406&BOND_ID=F03522&KIND=A
20260905,F05456,P24NATIX3,Natixis,20240627,20340627,10,USD,60000000,5.850,0,Applicable,3.000 x 1.000,E.SUN BankKGI SecuritiesSunny Bank Ltd.,KGI Securities,XS2783337103,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0037&MONYR_REG=202406&BOND_ID=F05456&KIND=A
20260905,F18922,P24MLBV10,Merrill Lynch B.V.,20241101,20341101,10,USD,32000000,5.200,0,Applicable,2.000 x 1.000,E.SUN BankSunny Bank Ltd.,E.SUN Bank,XS2814750027,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202411&BOND_ID=F18922&KIND=A
20260905,F18711,P24JPCFC1,JPMorgan Chase Financial Company LLC,20241108,20341108,10,USD,20000000,5.250,0,Applicable,2.000 x 1.000,E.SUN BankSunny Bank Ltd.,E.SUN Bank,XS1449608238,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0154&MONYR_REG=202411&BOND_ID=F18711&KIND=A
20260905,F13771,P24MSF2,Morgan Stanley Finance LLC,20241129,20341129,10,AUD,24000000,5.850,0,Applicable,4.000 x 1.000,KGI BankYuanta Securities Co,Yuanta Securities Co,XS2919176235,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0111&MONYR_REG=202411&BOND_ID=F13771&KIND=A
20260905,F18712,P24JPCFC2,JPMorgan Chase Financial Company LLC,20241204,20341204,10,USD,30000000,5.400,0,Applicable,3.000 x 1.000,E.SUN BankSunny Bank Ltd.,E.SUN Bank,XS1449599148,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0154&MONYR_REG=202412&BOND_ID=F18712&KIND=A
20260905,F13772,P25MSF1,Morgan Stanley Finance LLC,20250116,20350116,10,USD,60000000,5.600,0,Applicable,3.000 x 1.000,E.SUN BankKGI SecuritiesSinoPac SecuritiesYuanta Securities Co,E.SUN Bank,XS2958265683,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0111&MONYR_REG=202501&BOND_ID=F13772&KIND=A
20260905,F13773,P25MSF2,Morgan Stanley Finance LLC,20250117,20350117,10,USD,100000000,5.600,0,Applicable,5.000 x 1.000,Morgan StanleySinoPac Securities,SinoPac Securities,XS2958261690,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0111&MONYR_REG=202501&BOND_ID=F13773&KIND=A
20260905,F07114,P25SCB1,Standard Chartered Bank,20250122,20350122,10,USD,20000000,5.550,0,Applicable,4.000 x 1.000,E.SUN BankStandard Chartered,E.SUN Bank,XS2978506959,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0051&MONYR_REG=202501&BOND_ID=F07114&KIND=A
