deck_date,fx_page,fx_assets_ntd_tn,hedge_cs_ndf_pct,hedge_proxy_open_pct,hedge_fvoci_pct,fx_risk_exposure_pct,fx_policy_reserve_pct,hedging_cost_pct,hedging_cost_period,fx_volatility_reserve_ntd_bn,structure_asof,deck_title,pdf_url
2026-08-28,26,5.54,36.0,60.0,4.0,74.0,26.0,1.21,1H26,,,2026年第二季法人說明會(中文電話會議暨網路直播),https://www.cathayholdings.com/holdings/-/media/dd2d206148094cf284e7ba54c87874bc.pdf?sc_lang=zh-tw
2026-05-29,25,5.44,,,,74.0,26.0,1.26,1Q26,,,2026年第一季法人說明會(中文實體會議暨線上會議),https://www.cathayholdings.com/holdings/-/media/efc66470dde14a3d98ae6970a14c785e.pdf?sc_lang=zh-tw
2026-03-27,23,5.61,,,,,,1.57,FY25,,,2025年第四季法人說明會(中文實體會議暨線上會議),https://www.cathayholdings.com/holdings/-/media/6482f7a925c2486089788305af56122a.pdf?sc_lang=zh-tw
