as_of,policy_ntd_k,printed_total_ntd_k,currencies,reconciles,entity_id,co_id,filing,page
2026-03-31,170461433.0,170461433.0,"美金=5,318,560;澳幣=8,544;人民幣(離岸)=24,649;歐元=228;南非幣=34,493",True,mercuries_life,2867,202601_2867_AI2.pdf,158
2026-06-30,169277483.0,169277483.0,"美金=5,304,603;澳幣=8,703;人民幣(離岸)=27,233;歐元=257;南非幣=34,380",True,mercuries_life,2867,202602_2867_AI2.pdf,165
