entity_id,co_id,as_of,scope,currency,subject,measure,shock_bp,value_ntd_k,per_bp_ntd_k,layout,filing,page
banktaiwan_life,6025,2026-06-30,本公司,all,total,equity,50.0,-7451000.0,-149020.0,grid,202602_6025_AI2.pdf,138
banktaiwan_life,6025,2026-06-30,本公司,all,total,pnl,50.0,-2101000.0,-42020.0,grid,202602_6025_AI2.pdf,138
cathay_life,5846,2018-03-31,本公司,AUD,total,equity,1.0,-106.0,-106.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2018-03-31,本公司,AUD,total,pnl,1.0,0.0,0.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2018-03-31,本公司,EUR,total,equity,1.0,-6978.0,-6978.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2018-03-31,本公司,EUR,total,pnl,1.0,3432.0,3432.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2018-03-31,本公司,TWD,total,equity,1.0,-189878.0,-189878.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2018-03-31,本公司,TWD,total,pnl,1.0,911.0,911.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2018-03-31,本公司,USD,total,equity,1.0,-859335.0,-859335.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2018-03-31,本公司,USD,total,pnl,1.0,6861.0,6861.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,CNY,total,equity,1.0,-13339.0,-13339.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,EUR,total,equity,1.0,-7158.0,-7158.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,GBP,total,equity,1.0,-4444.0,-4444.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,GBP,total,pnl,1.0,223.0,223.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,TWD,total,equity,1.0,-121757.0,-121757.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,TWD,total,pnl,1.0,352.0,352.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,USD,total,equity,1.0,-909855.0,-909855.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-03-31,本公司,USD,total,pnl,1.0,3803.0,3803.0,grid,201901_5846_AI1.pdf,114
cathay_life,5846,2019-06-30,本公司,CNY,total,equity,1.0,-16361.0,-16361.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,EUR,total,equity,1.0,-6520.0,-6520.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,GBP,total,equity,1.0,-7293.0,-7293.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,TWD,total,equity,1.0,-90897.0,-90897.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,TWD,total,pnl,1.0,286.0,286.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,USD,total,equity,1.0,-886613.0,-886613.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-06-30,本公司,USD,total,pnl,1.0,2040.0,2040.0,grid,202002_5846_AI1.pdf,120
cathay_life,5846,2019-09-30,本公司,CNY,total,equity,1.0,-16566.0,-16566.0,grid,202003_5846_AI1.pdf,120
