basis,flows_are_ytd,foreign_investments,fx_combined_effect,fx_gain_loss,fx_reserve_change,fx_reserve_change_basis,fx_reserve_net_change,fx_reserve_total,hedging_gain_loss,hedging_instrument_gain_loss,hedging_split_available,hedging_swap_cost,net_foreign_investment_income,obs_month,one_off_provision,owners_equity,owners_equity_nonlife,owners_equity_total,pretax_profit_life,pretax_profit_nonlife,pretax_profit_total,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_url,total_assets,twd_change_ytd_pct,vintage
disclosed,True,,-98000,309200,-13800,prev_year_end,13800,215100,-421000,-223400,True,-197600,415600,2023-07-01,,2167400,119200,2286600,123100,6400,129500,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 112年7月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202308290004,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202308290004&dtable=News",,-2.3,2023-08-29
disclosed,True,,-92300,485300,-13100,prev_year_end,13100,215800,-590700,-361600,True,-229100,501700,2023-08-01,,2089300,120900,2210200,149300,9600,158900,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 112年8月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202309280005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202309280005&dtable=News",,-3.6,2023-09-28
disclosed,True,,-80700,658800,-12700,prev_year_end,12700,216200,-752200,-493100,True,-259100,589500,2023-09-01,,1964600,122000,2086600,174700,12400,187100,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 112年9月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202310310005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202310310005&dtable=News",,-4.83,2023-10-31
disclosed,True,,-86300,724900,-14300,prev_year_end,14300,214600,-825500,-535100,True,-290400,651600,2023-10-01,,1840300,121900,1962200,179400,14400,193800,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 112年10月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202311280002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202311280002&dtable=News",,-5.28,2023-11-28
disclosed,True,,-171200,229900,-100300,prev_year_end,100300,128600,-501400,-178100,True,-323300,540900,2023-11-01,,2097100,126400,2223500,113000,16100,129100,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 112年11月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202312280005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202312280005&dtable=News",,-1.77,2023-12-28
disclosed,True,,-228800,3700,-136900,prev_year_end,136900,92000,-369400,-9200,True,-360200,515900,2023-12-01,,2245600,127800,2373400,80600,17500,98100,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 112年12月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202402010006,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202402010006&dtable=News",,-0.09,2024-02-01
disclosed,True,,-20200,239500,22600,prev_year_end,-22600,114600,-237100,-198100,True,-39000,94200,2024-01-01,,2225200,129700,2354900,31800,2900,34700,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年1月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202402290004,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202402290004&dtable=News",,-1.81,2024-02-29
disclosed,True,,-40200,364100,38600,prev_year_end,-38600,130600,-365700,-292100,True,-73600,164900,2024-02-01,,2304700,133400,2438100,52900,5800,58700,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年2月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202403280002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202403280002&dtable=News",,-2.67,2024-03-28
disclosed,True,,-50200,544300,68800,prev_year_end,-68800,160900,-525700,-418900,True,-106800,292400,2024-03-01,,2480000,137400,2617400,96000,9300,105300,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年3月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202404300003,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202404300003&dtable=News",,-3.92,2024-04-30
disclosed,True,,-47800,788500,111300,prev_year_end,-111300,203300,-725000,-587100,True,-137900,421600,2024-04-01,,2370500,138200,2508700,143200,10700,153900,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年4月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202405280002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202405280002&dtable=News",,-5.55,2024-05-28
disclosed,True,,-86200,739300,96400,prev_year_end,-96400,188400,-729100,-559800,True,-169300,452400,2024-05-01,,2475200,137200,2612400,164000,12500,176500,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年5月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202406270002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202406270002&dtable=News",,-5.2,2024-06-27
disclosed,True,,-112300,753500,97900,prev_year_end,-97900,189900,-767900,-569400,True,-198500,520200,2024-06-01,,2637800,143800,2781600,214500,15200,229700,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年6月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202407300004,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202407300004&dtable=News",,-5.29,2024-07-30
disclosed,True,,-109100,923700,138600,prev_year_end,-138600,230600,-894200,-666100,True,-228100,659000,2024-07-01,,2670100,145100,2815200,300500,18100,318600,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年7月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202408270002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202408270002&dtable=News",,-6.4,2024-08-27
disclosed,True,,-179600,536000,82700,prev_year_end,-82700,174700,-632900,-371700,True,-261200,608200,2024-08-01,,2677300,147200,2824500,285700,19700,305400,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年8月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202410010005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202410010005&dtable=News",,-3.77,2024-10-01
disclosed,True,,-224400,411300,65700,prev_year_end,-65700,157700,-570000,-276700,True,-293300,637800,2024-09-01,,2674700,148700,2823400,293900,22100,316000,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年9月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202411050003,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202411050003&dtable=News",,-2.89,2024-11-05
disclosed,True,,-259300,565800,63200,prev_year_end,-63200,155200,-761900,-435600,True,-326300,685800,2024-10-01,,2579600,149100,2728700,306300,23500,329800,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年10月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202411280005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202411280005&dtable=News",,-4.05,2024-11-28
disclosed,True,,-267900,753700,93200,prev_year_end,-93200,185200,-928400,-572400,True,-356000,795600,2024-11-01,,2630700,149900,2780600,326300,25000,351300,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年11月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202501020002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202501020002&dtable=News",,-5.31,2025-01-02
disclosed,True,,-302900,883700,127600,prev_year_end,-92200,219600,-1094400,-709300,True,-385100,848200,2024-12-01,35400,2586000,151100,2737100,315500,26000,341500,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 113年12月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202502060003,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202502060003&dtable=News",,-6.24,2025-02-06
disclosed,True,,-25300,-37300,6700,prev_year_end,-6700,226300,18700,45800,True,-27100,69800,2025-01-01,,2594700,153500,2748200,32100,3600,35700,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年1月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202502270002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202502270002&dtable=News",,0.3,2025-02-27
disclosed,True,,-47200,22500,15100,prev_year_end,-15100,234700,-54600,-4800,True,-49800,146700,2025-02-01,,2640000,155800,2795800,54500,6000,60500,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年2月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202503270005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202503270005&dtable=News",,-0.12,2025-03-27
disclosed,True,,-49900,189500,64000,prev_year_end,-64000,283600,-175400,-102300,True,-73100,281400,2025-03-01,,2417200,154100,2571300,84900,8200,93100,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年3月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202504290007,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202504290007&dtable=News",,-1.21,2025-04-29
disclosed,True,,-118300,-322100,-54800,prev_year_end,55600,164800,148200,245200,True,-97000,159900,2025-04-01,800,2217600,151300,2368900,44900,9900,54800,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年4月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202505290005,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202505290005&dtable=News",,2.39,2025-05-29
disclosed,True,,-263800,-1254800,-200800,prev_year_end,264700,18800,726300,850300,True,-124000,-138400,2025-05-01,63900,2034500,151200,2185700,-61700,12200,-49500,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年5月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202506260002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202506260002&dtable=News",,9.53,2025-06-26
disclosed,True,,-522000,-1292100,13900,prev_year_end,50000,233500,720100,872100,True,-152000,-101800,2025-06-01,,2215200,150500,2365700,3500,15900,19400,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年6月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202507310009,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202507310009&dtable=News",,9.63,2025-07-31
disclosed,True,,-597600,-1263500,14300,prev_year_end,49700,233900,616200,800500,True,-184300,-103500,2025-07-01,,2342800,154300,2497100,23200,19200,42400,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年7月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202508280002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202508280002&dtable=News",,9.58,2025-08-28
disclosed,True,,-623200,-940100,153000,prev_year_end,-88800,372600,405700,616600,True,-210900,99300,2025-08-01,,2477400,158100,2635500,56200,22600,78800,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年8月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202509300004,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202509300004&dtable=News",,7.11,2025-09-30
disclosed,True,,-653900,-998800,122300,prev_year_end,-58200,341900,403100,636800,True,-233700,124800,2025-09-01,,2645000,162400,2807400,91600,26100,117700,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年9月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202510280007,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202510280007&dtable=News",,7.59,2025-10-28
disclosed,True,,-680600,-877600,164900,prev_year_end,-100800,384500,297800,552800,True,-255000,237200,2025-10-01,,2802200,167300,2969500,138000,29800,167800,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年10月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202511270002,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202511270002&dtable=News",,6.61,2025-11-27
disclosed,True,,-704800,-574800,294200,prev_year_end,-230100,513800,100100,373700,True,-273600,435400,2025-11-01,,2809900,170400,2980300,180100,33700,213800,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年11月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202512300004,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202512300004&dtable=News",,4.37,2025-12-30
disclosed,True,,-821200,-548500,394100,prev_year_end,-330100,613700,57400,349600,True,-292200,518500,2025-12-01,,2712400,172400,2884800,156900,36800,193700,release,2026-09-03T04:27:07.269351+00:00,FSC press release: 114年12月保險業損益、淨值，以及兌換損益、避險損益與外匯價格變動準備金情形,202601270003,,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=202601270003&dtable=News",,4.27,2026-01-27
