matrix_code,item,sub_item,obs_month,value,unit,vintage
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-02-01,25.69,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-02-01,25.79,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-02-01,25.815,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-02-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-03-01,26.1,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-03-01,26.2,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-03-01,26.11,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-03-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-04-01,25.8,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-04-01,25.9,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-04-01,25.905,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-04-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-05-01,26.0,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-05-01,26.1,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-05-01,26.085,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-05-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-06-01,26.35,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-06-01,26.45,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-06-01,26.39,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-06-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-07-01,26.89,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-07-01,26.99,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-07-01,26.939,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-07-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-08-01,26.89,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-08-01,26.99,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-08-01,26.936,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-08-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-09-01,26.89,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-09-01,26.99,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-09-01,26.918,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-09-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-10-01,26.81,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-10-01,26.91,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-10-01,26.861,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-10-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-11-01,26.88,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-11-01,26.98,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-11-01,26.934,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-11-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1993-12-01,26.62,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1993-12-01,26.72,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1993-12-01,26.626,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1993-12-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-01-01,26.39,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-01-01,26.49,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-01-01,26.42,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-01-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-02-01,26.41,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-02-01,26.51,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-02-01,26.483,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-02-01,6.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-03-01,26.31,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-03-01,26.41,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-03-01,26.33,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-03-01,6.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-04-01,26.35,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-04-01,26.45,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-04-01,26.417,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-04-01,7.0,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-05-01,27.03,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-05-01,27.13,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-05-01,27.05,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-05-01,7.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-06-01,26.76,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-06-01,26.86,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-06-01,26.825,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-06-01,7.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-07-01,26.52,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-07-01,26.62,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-07-01,26.561,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-07-01,7.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-08-01,26.1,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-08-01,26.2,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-08-01,26.2,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-08-01,7.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-09-01,26.11,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-09-01,26.21,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-09-01,26.144,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-09-01,8.0,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-10-01,25.99,TWD per USD,2026-08-27
