basis,flows_are_ytd,foreign_investments,obs_month,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_url,total_assets,vintage
disclosed,False,18646929,2021-04-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年4月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/04),110-04,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202108311732110.pdf&filedisplay=202104指標0611_含公式加頁_正式_final值.pdf&flag=doc,32295295,2021-08-31
disclosed,False,18836098,2021-05-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年5月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/05),110-05,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202108311732530.pdf&filedisplay=202105指標0708_含公式加頁_正式_final值.pdf&flag=doc,32271314,2021-08-31
disclosed,False,19095348,2021-06-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年6月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/06),110-06,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202109031118040.pdf&filedisplay=202106指標0811_含公式加頁_正式_final值.pdf&flag=doc,32630932,2021-09-03
disclosed,False,19255660,2021-07-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年7月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/07),110-07,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202109271441000.pdf&filedisplay=202107指標0917_含公式加頁_正式_final值.pdf&flag=doc,32801691,2021-09-27
disclosed,False,19275763,2021-08-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年8月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/08),110-08,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202201071623410.pdf&filedisplay=202108指標1007_含公式加頁_正式_final值.pdf&flag=doc,32869104,2022-01-07
disclosed,False,19393260,2021-09-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年9月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/09),110-09,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202201071637020.pdf&filedisplay=202109指標1111_含公式加頁_正式_final值.pdf&flag=doc,32822704,2022-01-07
disclosed,False,19651621,2021-10-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年10月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/10),110-10,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202201071638530.pdf&filedisplay=202110指標1208_含公式加頁_正式_final值.pdf&flag=doc,32999844,2022-01-07
disclosed,False,19719838,2021-11-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年11月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2021/11),110-11,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202201191620080.pdf&filedisplay=202111指標0111_含公式加頁_正式_final值.pdf&flag=doc,33135950,2022-01-19
disclosed,False,19876294,2021-12-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 110年12月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column year-end),110-12,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202203161307030.pdf&filedisplay=202112指標0209_含公式加頁_正式_final值.pdf&flag=doc,33342137,2022-03-16
disclosed,False,19799228,2022-01-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年1月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/01),111-01,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202203291105170.pdf&filedisplay=202201指標0315_含公式加頁_正式_final值.pdf&flag=doc,33083842,2022-03-29
