entity_id,as_of,deck,deck_date,page,hedged_pct,fx_policy_pct,equity_pct,naked_pct,foreign_assets_ntd_bn,includes_proxy
shinkong_life,2025-09-30,288720251201M001.pdf,2025-12-01,27,34.7,34.4,1.0,29.8,2330.6,False
shinkong_life,2025-12-31,288720260331M001.pdf,2026-03-31,29,34.7,34.0,1.1,30.2,,False
shinkong_life,2026-03-31,288720260626M001.pdf,2026-06-26,29,38.1,30.4,1.4,30.1,1988.8,False
shinkong_life,2026-06-30,288720260901M001.pdf,2026-09-01,30,32.2,35.4,2.1,30.3,2058.5,False
taiwan_life,2021-03-31,289120210519M001.pdf,2021-05-19,28,36.0,40.0,8.0,15.0,,False
taiwan_life,2021-06-30,289120210823M001.pdf,2021-08-23,28,40.0,40.0,8.0,12.0,,False
taiwan_life,2021-09-30,289120211123M001.pdf,2021-11-23,28,40.0,41.0,8.0,11.0,,False
taiwan_life,2021-12-31,289120220331M001.pdf,2022-03-31,30,37.0,41.0,9.0,13.0,,False
taiwan_life,2022-03-31,289120220518M001.pdf,2022-05-18,27,35.0,42.0,9.0,14.0,,False
taiwan_life,2022-06-30,289120220823M001.pdf,2022-08-23,27,35.0,43.0,10.0,12.0,,False
taiwan_life,2022-09-30,289120221118M002.pdf,2022-11-18,27,33.0,43.0,10.0,14.0,,False
taiwan_life,2022-12-31,289120230310M002.pdf,2023-03-10,28,30.0,43.0,10.0,17.0,,False
taiwan_life,2023-03-31,289120230515M003.pdf,2023-05-15,26,30.0,43.0,10.0,17.0,,False
taiwan_life,2023-06-30,289120230818M001.pdf,2023-08-18,26,33.0,43.0,10.0,14.0,,False
taiwan_life,2023-09-30,289120231113M001.pdf,2023-11-13,26,33.0,42.0,11.0,15.0,,False
taiwan_life,2023-12-31,289120240312M002.pdf,2024-03-12,27,30.0,42.0,11.0,18.0,,False
taiwan_life,2024-03-31,289120240531M001.pdf,2024-05-31,26,30.0,41.0,11.0,18.0,,False
taiwan_life,2024-06-30,289120240828M001.pdf,2024-08-28,28,27.0,41.0,10.0,22.0,,False
taiwan_life,2024-09-30,289120241119M001.pdf,2024-11-19,30,37.0,41.0,11.0,12.0,,False
taiwan_life,2024-12-31,289120250318M001.pdf,2025-03-18,31,29.0,41.0,11.0,20.0,,False
taiwan_life,2025-06-30,289120250912M001.pdf,2025-09-12,26,33.0,42.0,10.0,16.0,,False
taiwan_life,2025-09-30,289120251117M001.pdf,2025-11-17,26,29.0,42.0,10.0,19.0,,False
taiwan_life,2025-12-31,289120260312M001.pdf,2026-03-12,27,31.0,42.0,9.0,17.0,,False
taiwan_life,2026-03-31,289120260519M002.pdf,2026-05-19,27,28.0,37.0,5.0,30.0,,False
taiwan_life,2026-06-30,289120260818M001.pdf,2026-08-18,28,20.0,38.0,6.0,36.0,,False
