firm_id,fy,period_label,esr_level_pct,domestic_rate_up_pt,domestic_rate_down_pt,foreign_rate_up_pt,foreign_rate_down_pt,surplus_tn,risk_amount_tn,consolidation,source_document,source_page,extraction_date,notes
asahi,2025,2026年3月末,258.9,-5.4,5.8,-1.4,1.1,1.7141,0.6618,group,raw/asahi/2025/ir_presentation/20260526_1.pdf,10,2026-08-26,"ESR(グループ, 内部管理ベース). Surplus and risk amount both disclosed -- yen conversion attemptable."
nippon,2025,2026年3月末,,-6.0,6.0,-1.0,1.0,,,non_consolidated,raw/nippon/2025/ir_presentation/ir202606.pdf,7,2026-08-26,内部モデルESR sensitivity. Preliminary (速報値). Equity/RE -10% -> -1pt not split domestic/foreign.
