obs_month,net_yen_bn,rolling12_yen_bn,source_url,source_doc,vintage
2007-04,610.6,12.6,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-05,777.0,899.3,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-06,-72.6,385.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-07,432.2,1000.2,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-08,132.7,1381.5,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-09,-435.4,1171.2,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-10,499.8,1523.5,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-11,-341.4,1035.3,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2007-12,-346.3,831.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-01,38.0,706.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-02,-404.8,675.8,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-03,137.9,1027.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-04,1057.3,1474.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-05,99.9,797.3,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-06,-145.7,724.2,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-07,-58.0,234.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-08,-196.2,-94.9,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-09,-213.5,127.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-10,44.7,-328.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2008-11,198.7,212.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
