年度,科目,金額(仟元)
2023,資產,34910157217 ,""
2023,負債,32664478319 
2023,業主權益,2245678898 
2023,股本,718517160 
2023,資本公積,213794082 
2023,保留盈餘,1558832596 
2023,股東權益其他項目,-245464940 
2024,資產,36922374356 
2024,負債,34315412702 
2024,業主權益,2606961654 
2024,股本,758621626 
2024,資本公積,228656142 
2024,保留盈餘,1857565935 
2024,股東權益其他項目,-237882049 
2025,資產,37698055171 
2025,負債,34986602943 
2025,業主權益,2711452227 
2025,股本,783866853 
2025,資本公積,232624389 
2025,保留盈餘,2023408040 
2025,股東權益其他項目,-328447055 
